"Different ways to test your blood sugar level include using a glucometer at home or getting it done at the clinic. Your blood sugar level refers to the ""at the moment"" level of sugar (glucose) in your blood. HbA1c, or glycosylated hemoglobin, is when sugar (glucose) is attached to protein in red blood cells. It shows your average blood sugar level over 3 months. High HbA1c levels indicate elevated blood sugar levels.",12.4 Be Proactive (updated 22Jan2024).pdf,10
"Different ways to test your blood sugar level include self-monitoring using a glucometer. This is important for individuals with Type 2 diabetes who are at increased risk of developing hypoglycemia, especially if pregnant with pre-existing diabetes or Gestational Diabetes, experiencing acute illness, having difficulty achieving glycemic goals, or fasting for religious reasons (e.g., Ramadan).",12.4 Be Proactive (updated 22Jan2024).pdf,11
"Monitor your blood sugar level before and after meals. Too high blood sugar levels can increase the risk of hyperglycemia, while levels that are too low can lead to hypoglycemia. Ideally, your blood sugar levels should be between 4.0 and 7.0 mmol/L before meals and less than 10.0 mmol/L two hours after meals. Your specific targets may vary depending on your condition, so it's important to discuss this with your doctor or care team.",12.4 Be Proactive (updated 22Jan2024).pdf,12
"Common signs and symptoms of hypoglycemia (low blood sugar of < 4 mmol/L) include mood changes such as anxiety, irritability, and nervousness, dizziness or headaches, changes in behavior like confusion, weakness, and unclear speech, drowsiness, hunger, hand tremors, an abnormally fast heartbeat, and fatigue.",12.4 Be Proactive (updated 22Jan2024).pdf,13
"Follow the 15-15 rule if you experience hypoglycemia symptoms or your blood sugar level is low (< 4 mmol/L). After 15 minutes, check blood sugar level. Eat a light snack (e.g., bread, biscuits) or have your next meal earlier to prevent blood sugar levels from dropping again. Have 3 soft candies (sugar-containing) or sugar (glucose) tablets. Half a glass of fruit juice. Repeat steps 1 & 2 one more time if needed. If symptoms persist after the second attempt, seek medical advice. If symptoms persist or blood sugar level is low (< 4 mmol/L), take 15g of fast-acting sugars. Record what happened prior to experiencing hypoglycemia. If hypoglycemia is frequent, do a medication check with your doctor. These steps are only applicable if the person is conscious. If the person is unconscious, call an ambulance immediately.",12.4 Be Proactive (updated 22Jan2024).pdf,14
"Here are the meaningful sentences related to preventing hypoglycemia (low blood sugar) in diabetes:

- Do not take diabetes or insulin injections in the morning when fasting for a blood test.
- Closely follow instructions on when to take your medication, especially in relation to meals.
- If you experience hypoglycemia frequently, check with your doctor as your medication may need adjusting.
- Do not skip meals even when busy.
- Bring a few sugar-containing sweets along whenever you go out.
- If needed, eat extra carbohydrates before moderate or vigorous intensity activities.",12.4 Be Proactive (updated 22Jan2024).pdf,15
"Common signs and symptoms of hyperglycemia (high blood sugar) include weight loss, increased thirst, frequent urination, increased hunger, blurred vision, headaches, and slow-healing cuts. Blood sugar levels above 16 mmol/L are indicative of hyperglycemia.",12.4 Be Proactive (updated 22Jan2024).pdf,16
"If you experience hyperglycemia symptoms or your blood sugar level is high (> 16 mmol/L), check your blood sugar level more often. Drink plenty of plain water. Seek medical advice if symptomatic, or if blood sugar level remains persistently high > 16 mmol/L.",12.4 Be Proactive (updated 22Jan2024).pdf,17
"Here is the revised content focusing on diabetes management during fasting for religious reasons:

""How can I fast safely (for religious reasons)? Self-monitor blood sugar levels regularly and check for symptoms of hypoglycemia (low blood sugar). If your blood sugar level is low (< 4 mmol/L), stop your fast and take a sweetened drink. If symptoms of low or high blood sugar persist, stop your fast and seek medical attention. Before fasting, consult your doctor if it is safe for you to fast. Adjust your diet with your healthcare professional. Adjust your medication or insulin dose with your doctor.""",12.4 Be Proactive (updated 22Jan2024).pdf,18
"When should I not fast? You should not fast when you are sick, have not been following your prescribed medication, diet, and physical activities, or have any of the following conditions: frequent hypoglycemia (low blood sugar) or poorly controlled diabetes, serious conditions such as nerve disorders, heart problems, or uncontrolled hypertension, or if you are pregnant or breastfeeding.",12.4 Be Proactive (updated 22Jan2024).pdf,19
"Here is the revised content focusing on diabetes management when feeling unwell:

""When feeling unwell, such as having a fever, cough, runny nose, vomiting, or diarrhea, it is important to take care of your diabetes. Check your blood sugar levels more often and drink plenty of water. See your doctor and get plenty of rest. Discuss with your healthcare team if dose adjustments need to be made. It is also recommended to have small, frequent meals or fluids like soups, diluted juices, or sweetened drinks.""",12.4 Be Proactive (updated 22Jan2024).pdf,20
"If you are experiencing loss of appetite, skin sores, chest pain, shortness of breath, fruity breath, dry lips or tongue, or abdominal pain, it is important to see your doctor. Additionally, severe vomiting or diarrhea for more than 6 hours, recurrently low blood sugar levels (< 4 mmol/L), or persistently high blood sugar levels (> 16 mmol/L) for more than 24 hours are also signs that require medical attention.",12.4 Be Proactive (updated 22Jan2024).pdf,21
"Go for your regular check-up to detect and prevent complications. Assessment and test frequency include weight and height (BMI), blood pressure, HbA1c (blood sugar), stress, emotional well-being. It is recommended to have these tests at least every 3 to 6 months depending on your condition. Additionally, tests for lipid profile (cholesterol), kidneys, eyes, and feet should be done at least once a year depending on your condition. Possible complications of diabetes include kidney failure, blindness, amputation, heart attack, and stroke.",12.4 Be Proactive (updated 22Jan2024).pdf,22
"To manage diabetes well, it is important to maintain healthy eating habits and engage in regular physical activity and exercise. Speak with your care team to determine your specific targets for HbA1c levels, blood pressure, and LDL cholesterol, as these may vary for each individual. Monitoring your HbA1c levels can provide insight into your blood sugar control over the past three months. Aim for HbA1c levels below 7 for optimal control, blood pressure below 140/80, and LDL cholesterol below 2.6 mmol/L. Remember that achieving target levels for blood sugar control, blood pressure, and cholesterol can be supported by a combination of lifestyle changes and medical management.",12.4 Be Proactive (updated 22Jan2024).pdf,23
"Weight management is an important part of diabetes care. Body Mass Index (BMI) screens for weight categories that may lead to increased risk of cardiovascular health problems, but it does not diagnose the body fatness or health of an individual. BMI is one of the many useful tools individuals can use to track their health. For Asians, a BMI of 23 and greater is considered of increased risk. If you are overweight (BMI 23 and more), even losing 5 – 10% of your weight can help lower your blood sugar levels, blood pressure, and cholesterol levels. To calculate your BMI, use the formula: BMI = Weight (kg) / (Height (m) x Height (m)), then check against the table. Speak to your healthcare team for personalized advice on how best to achieve or maintain an optimal weight. Keeping within your optimal weight range is important for achieving better blood sugar levels. The BMI categories are as follows:  
- 27.5 and above: High risk for cardiovascular diseases  
- 23.0 - 27.4: Moderate risk for cardiovascular diseases  
- 18.5 - 22.9: Low risk for cardiovascular diseases  
- Below 18.5: Risk of nutritional deficiency diseases and osteoporosis.",12.4 Be Proactive (updated 22Jan2024).pdf,24
"""Self-monitoring of glucose is important for managing diabetes. Being proactive in monitoring your blood sugar levels can help you stay in control of your condition.""",12.4 Be Proactive (updated 22Jan2024).pdf,25
"Self-monitoring of blood sugar is crucial for managing diabetes effectively. Keeping your blood sugar levels within the target range can help reduce the risk of diabetes-related complications. Monitoring your glucose levels allows you to understand how food, physical activity, and insulin doses impact your blood sugar levels, enabling you to make necessary adjustments for optimal diabetes control. Blood sugar targets should be personalized to avoid hypoglycemia and other adverse effects associated with overly tight control.

It is important to consult with your healthcare team to determine if self-monitoring is necessary, which tools to use, and how frequently to check your blood sugar. Your target blood sugar range may vary based on factors such as age, lifestyle, and overall health. Checking your blood sugar levels before meals, two hours after eating, before bedtime, before and after exercise, when feeling unwell, and as needed in consultation with your healthcare provider is essential for effective diabetes management.",12.4 Be Proactive (updated 22Jan2024).pdf,26
"""Why is Blood Sugar Monitoring Important? Blood sugar monitoring gives you a clear idea of your blood sugar level at a given time. It informs if you have hypoglycemia (blood sugar too low) or hyperglycemia (blood sugar too high) at a given time. It tells you how your lifestyle and medication regimen are affecting your blood sugar levels. This helps you and your diabetes healthcare team evaluate and determine the best management strategy for you.""",12.4 Be Proactive (updated 22Jan2024).pdf,27
"How to Monitor Blood Sugar:
Blood Glucose Meter
Blood sugar level can be easily monitored using a Blood Glucose Meter. Prick your finger and put a small drop of blood on the meter’s test strip. Your blood sugar level will appear on the meter within seconds. Blood sugar and interstitial fluid glucose levels are usually similar to each other, and glucose levels can also be measured from the interstitial fluid. There are two types of monitors that measure interstitial fluid glucose: flash glucose monitors and continuous glucose monitors. A blood glucose meter is usually the least expensive home testing option, but it only reveals your blood sugar level at the time of check. Remember to wash your hands with soap and water and dry with tissue.",12.4 Be Proactive (updated 22Jan2024).pdf,28
"Flash Glucose Monitor (FGM) consists of a sensor and a reader, and depending on the type of sensor, it is placed either at the back of the upper arm, on the abdomen, or the upper buttocks. FGMs can be used up to 14 days. It allows you to view interstitial fluid glucose levels at the time of check and can tell you if your glucose levels are rising, falling, or stable. FGMs can also give you a report on the daily pattern of your glucose levels. It does not require blood sugar (finger prick) calibration. Some do not have alarms. Sensor readings are not automatically synced with the reader. You will need to flash the reader over the sensor to record your glucose readings.",12.4 Be Proactive (updated 22Jan2024).pdf,29
"Continuous Glucose Monitoring (CGM) is a system that consists of a sensor, a transmitter, and a receiver. The sensor usually needs to be replaced every 3 to 7 days. It collects glucose readings every few minutes, providing a more comprehensive view of your glucose profile compared to a blood glucometer. The CGM can trigger alarms if glucose levels are too high or too low. Some types of CGM systems require calibration with a blood glucose meter, which involves a finger prick. Monitoring blood sugar levels is essential for managing diabetes effectively.",12.4 Be Proactive (updated 22Jan2024).pdf,30
"Glucose level targets should be tailored to your condition. Please discuss with your healthcare team. Pre-meal glucose targets are 4.0 – 7.0 mmol/L, and 2-hour post-meal glucose should be less than 10.0 mmol/L.",12.4 Be Proactive (updated 22Jan2024).pdf,31
"Hypoglycemia, also known as low blood sugar, occurs when your blood sugar level falls below 4.0 mmol/L. This can happen due to an imbalance between insulin intake and the body's physiological needs, insulin overdose from injecting too much insulin without eating enough carbohydrates, ill-timed insulin intake, using the wrong type of insulin, increased sensitivity to insulin, increased glucose utilization during or shortly after exercise, and a mismatch between food intake timing and sulphonylureas consumption.",12.4 Be Proactive (updated 22Jan2024).pdf,32
"Hypoglycemia is when the blood sugar levels are lower than normal. This usually occurs at blood sugar levels less than 4 mmol/L. The severity of hypoglycemia can be categorized into three levels: mild, moderate, and severe. 

Mild hypoglycemia is defined as blood sugar levels between 3.1 - 3.9 mmol/L, while moderate hypoglycemia is when levels are less than 3.1 mmol/L. Severe hypoglycemia is characterized by blood sugar levels less than 2.2 mmol/L or when the individual needs help to treat and cannot self-treat.

Symptoms of hypoglycemia include fast heartbeat, dizziness, headache, sweating, unceasing hunger despite having a full and balanced meal, irritability, weakness, blurred vision, slurred speech, confusion, abnormal behavior, and seizures. If an individual has lost consciousness due to severe hypoglycemia, it is crucial to call an ambulance immediately as they cannot self-treat in such situations.",12.4 Be Proactive (updated 22Jan2024).pdf,33
"Here are the meaningful sentences related to diabetes:

- Fast-acting sugars for conscious individuals include 3 teaspoons of dextrose powder or table sugar in 120ml of water, ½ can of regular soft drink, 1 can of low-sugar soft drink, ½ glass (150ml) of fruit juice, and 3 soft/jelly sweets.
- Long-acting sugars for conscious individuals include 3 pieces of biscuits and 1 slice of bread.
- In cases of hypoglycemia, the recommended treatment is to drink something containing sugar.",12.4 Be Proactive (updated 22Jan2024).pdf,34
"Avoid using the following items to rescue hypoglycemia:
- Diet/no sugar soft drinks
- Sugar-free sweets
- High-fat snacks such as chocolate - fat slows down the movement of sugar into blood.",12.4 Be Proactive (updated 22Jan2024).pdf,35
"Sure! Here is a revised sentence related to diabetes:
""It is important to be proactive about taking medication for diabetes.""",12.4 Be Proactive (updated 22Jan2024).pdf,36
"Medications work in different ways on different body parts. For example, Linagliptin and sitagliptin help the pancreas produce more insulin and reduce the amount of sugar made by the liver. Pioglitazone and metformin reduce the amount of sugar made by the liver and increase the sensitivity of fat, liver, and muscle cells to insulin. Dapagliflozin and empagliflozin prevent the kidneys from reabsorbing sugar. Glipizide, tolbutamide, and gliclazide help the pancreas produce more insulin. Acarbose slows down the breakdown of starch and absorption of sugar from the intestines. For more information on medication, please visit knowyourmeds and ndf.gov.sg.",12.4 Be Proactive (updated 22Jan2024).pdf,37
"Here is the revised content focusing on diabetes-related information:

- Take your medication as prescribed and regularly at the correct times. If you miss a dose, take it as soon as you remember. If it is time for the next dose, skip the missed dose.
- Eat meals regularly to prevent hypoglycemia (low blood sugar).
- Taking metformin before going for any scans (e.g., CT scans) or procedures.
- If pregnant or planning to get pregnant, consult a healthcare professional before taking any medication.
- Inform your healthcare professional if you are experiencing persistent symptoms of hypoglycemia (low blood sugar).
- Avoid taking alcohol with medication.",12.4 Be Proactive (updated 22Jan2024).pdf,38
"Take your medication as prescribed. Inform your healthcare professional if you are pregnant. Your oral medications may not be recommended for use during pregnancy, and your doctor may prescribe a different medicine or insulin.",12.4 Be Proactive (updated 22Jan2024).pdf,39
"""Insulin treatment is essential for managing diabetes. It is important to be proactive in monitoring blood sugar levels and following the prescribed treatment plan.""",12.4 Be Proactive (updated 22Jan2024).pdf,40
"Types of insulin include rapid-acting, regular or short-acting, intermediate-acting, and long-acting. Rapid-acting insulin starts to work within 15 minutes and lasts 1-2 hours. Regular or short-acting insulin starts to work within 30 minutes and lasts 3 to 4 hours. Intermediate-acting insulin starts to work within 1-2 hours, maximally at 4-6 hours, and lasts up to 12 hours. Long-acting insulin can work for an entire day, depending on the type of long-acting insulin.",12.4 Be Proactive (updated 22Jan2024).pdf,41
"Types of insulin:
- Inject insulin into the fatty layer beneath the skin (subcutaneous).
- The belly absorbs insulin the fastest and most consistently, followed by the arms, thighs, and buttocks.
- Pick the proper needle length and gauge to reduce pain.
- Use a new needle for every injection.",12.4 Be Proactive (updated 22Jan2024).pdf,42
"Insulin is absorbed at different rates in different sites of the body. The abdomen absorbs insulin the fastest, while the thighs absorb it the slowest. To avoid swelling and ensure proper insulin absorption, it is recommended to rotate injection sites, such as the right and left thigh. When rotating injection sites, move two fingers' breadth away from the last injection site until you have used the entire area. It is advised to change to a new injection area every 1 to 2 weeks. Suitable sites for insulin injection include the outer side of the upper arms, the upper and outer side of the thighs, the upper outer quadrant of the buttocks, and the abdomen, at least 2.5 cm away from the belly button in any direction.",12.4 Be Proactive (updated 22Jan2024).pdf,43
"Rotate your injection spots by moving 2 fingers’ breadth apart from the last injection site. By rotating the spots where you inject insulin, you can prevent fat lumps (lipohypertrophy) from forming just under the skin. Use an entire area before moving to a new area.",12.4 Be Proactive (updated 22Jan2024).pdf,44
"Insulin pump therapy is another way of providing insulin to your body that mimics the function of the pancreas. A small device with an insulin reservoir that delivers both basal (continuous release over 24 hours) and rapid-acting insulin doses to match higher glucose levels during mealtimes. It usually improves diabetes control by helping to avoid glucose levels that are “too high” or “too low”. You can adjust the insulin dose to suit your needs (e.g., change dose at mealtimes depending on what you choose to eat). Insulin is delivered via an infusion set and cannula into the subcutaneous layer of the abdomen.",12.4 Be Proactive (updated 22Jan2024).pdf,45
"Sure! Here is a revised sentence focusing on diabetes-related content: ""Proactive foot care is essential for managing diabetes.""",12.4 Be Proactive (updated 22Jan2024).pdf,46
"Poorly controlled diabetes can lead to foot complications. Nerve damage can make your foot feel numb and change its shape, increasing your risk of getting calluses and ulcers. Extremely poor blood circulation (vasculopathy) can cause wounds to heal poorly; an amputation may be required to save your life.",12.4 Be Proactive (updated 22Jan2024).pdf,47
"Poorly controlled diabetes can lead to foot complications. Uncontrolled blood sugar levels damage nerves over time, leading to decreased foot sensation and deformity, such as mid-foot collapse, toe deformities, and extremely arched foot. Decreased foot sensation, deformity, and improper or inadequate footwear increase the risk of calluses and ulcers (wounds). Extremely poor blood circulation (vasculopathy) can cause problems in your extremities, such as cell death, tissue damage, or infections. Surgeries such as angioplasty (unblocking blood vessels), removal of damaged tissue, or amputation may be required due to nerve damage (neuropathy) and poor blood circulation (vasculopathy).",12.4 Be Proactive (updated 22Jan2024).pdf,48
Apply simple first aid for small wound. Seek medical help if wound is not healing well or worsens. Monitor feet every day. Maintain good foot care and hygiene. Moisturize hard skin areas regularly. Good foot care practices include wearing well-fitting and covered footwear.,12.4 Be Proactive (updated 22Jan2024).pdf,49
"Maintain good foot care and hygiene by cleaning feet daily with mild soap and water. Dry thoroughly between each toe and use a pumice stone or foot file to gently remove hard skin. Avoid cutting nails too short; cut them straight across and file corners. Moisturize hard skin areas regularly, avoiding the use of harsh soap. Apply moisturizer daily but not between each toe, and avoid scratching the skin as it may lead to a wound or bleeding. Monitor feet every day for signs such as blisters, wounds, corns, calluses, redness, swelling, bruises, increased warmth, toenail anomalies, or changes in foot shape.",12.4 Be Proactive (updated 22Jan2024).pdf,50
"Good foot care practices are essential for individuals with diabetes. It is important to wear well-fitted and covered footwear, such as well-fitted covered shoes with socks or recommended home sandals. Before wearing shoes, it is crucial to check and remove any stones or sharp objects inside them to prevent injuries. In case of a small wound, it is advised to clean it with saline, apply antiseptic, and cover it with a plaster. If there is no improvement after two days or if signs of infection appear, seeking medical help is necessary. Additionally, if a wound is not healing well or worsens, medical attention should be sought. Signs of infection to watch out for include redness, swelling, increased pain, pus, fever, or a foul smell coming from the wound. If any of these symptoms are present, it is important to seek medical help as soon as possible.",12.4 Be Proactive (updated 22Jan2024).pdf,51
Be proactive about dental care.,12.4 Be Proactive (updated 22Jan2024).pdf,52
"Here are the meaningful sentences related to diabetes:

- Visit a dentist every 6 months to 1 year to check your teeth; let the dentist know about your blood sugar control and the medication you are taking.
- Keep your mouth healthy. Clean in between your teeth with floss or an interdental brush at least once a day.",12.4 Be Proactive (updated 22Jan2024).pdf,53
"If you experience pain in your mouth, persistent bleeding gums, white patches in your mouth, or receding gum lines, see your dentist. Additionally, consult your dentist if you have loose or shaky adult teeth and/or widening gaps between your adult teeth.",12.4 Be Proactive (updated 22Jan2024).pdf,54
"Sure! Here is a revised sentence related to diabetes:
""It is important to be proactive in managing diabetes.""",12.4 Be Proactive (updated 22Jan2024).pdf,55
"Here are the meaningful sentences related to diabetes and travel preparation:

- Put necessary medication or insulin items in your carry-on bag.
- See your doctor for a vaccination, if possible.
- Check with your care team on medication and insulin dosage.
- Bring a medical letter or diabetes card regarding your diagnosis and medication.
- Get insurance coverage.",12.4 Be Proactive (updated 22Jan2024).pdf,56
"How can I prepare for travel?

For short-haul flights or time zone differences of 1 to 2 hours, maintain your medication schedule and insulin dosage.

For long-haul flights or time zone differences of more than 2 hours, discuss with your doctor regarding possible adjustments to your medication schedule and insulin dosage.

Pack these in your carry-on bag:
- Glucometer with test strips, finger-pricking device, and lancets
- Medication or insulin items (e.g., insulin pens, vials, pen needles, syringes, swabs)
- Medication for common illnesses
- Sweets to prevent hypoglycemia (low blood sugar)",12.4 Be Proactive (updated 22Jan2024).pdf,57
"Here are the meaningful sentences related to managing diabetes while abroad:

- How can I manage my diabetes while abroad?
- Take medication as prescribed.
- Self-monitor your blood sugar level regularly.
- Know where to seek help.",12.4 Be Proactive (updated 22Jan2024).pdf,58
